order_id,product_id,category,price,return_reason,return_days,condition,customer_type,resolution
ORD100000,PID9281,Home,67.16,Changed mind,5,Used,Prime,Refund
ORD100001,PID6633,Clothing,412.04,No longer needed,28,Used,Non-Prime,Replacement
ORD100002,PID9929,Electronics,165.4,Item damaged,15,Used,Prime,Replacement
ORD100003,PID5443,Home,60.02,Size too large,25,Opened,Non-Prime,Refund
ORD100004,PID1283,Clothing,62.08,No longer needed,30,Damaged,Non-Prime,Refund
ORD100005,PID3686,Electronics,153.51,Wrong item received,21,Used,Prime,Refund
ORD100006,PID5093,Sports,317.64,Quality not good,4,Used,Non-Prime,Replacement
ORD100007,PID9248,Beauty,304.51,Better price available,2,Unopened,Non-Prime,Refund
ORD100008,PID9606,Sports,201.94,No longer needed,13,Damaged,Prime,Replacement
ORD100009,PID7599,Sports,271.79,Size too small,29,Opened,Prime,Refund
ORD100010,PID4727,Clothing,391.84,Arrived late,28,Opened,Non-Prime,Replacement
ORD100011,PID4007,Beauty,303.98,No longer needed,20,Used,Prime,Replacement
ORD100012,PID5342,Clothing,314.97,Size too small,20,Unopened,Prime,Refund
ORD100013,PID3173,Home,358.36,Better price available,15,Opened,Non-Prime,Replacement
ORD100014,PID5669,Sports,272.03,Better price available,25,Used,Prime,Refund
ORD100015,PID7775,Electronics,317.54,Better price available,22,Damaged,Non-Prime,Replacement
ORD100016,PID6677,Beauty,312.85,Size too large,4,Opened,Prime,Refund
ORD100017,PID3006,Clothing,392.34,Changed mind,6,Unopened,Non-Prime,Refund
ORD100018,PID7947,Home,228.59,Wrong item received,12,Used,Prime,Replacement
ORD100019,PID8654,Home,185.96,No longer needed,8,Opened,Prime,Refund
ORD100020,PID7942,Home,145.87,Defective product,27,Unopened,Non-Prime,Replacement
ORD100021,PID7141,Home,394.63,Item damaged,14,Unopened,Prime,Refund
ORD100022,PID9055,Clothing,476.46,Size too small,28,Damaged,Non-Prime,Replacement
ORD100023,PID7156,Home,157.52,Defective product,10,Opened,Prime,Refund
ORD100024,PID7990,Clothing,327.11,Size too small,8,Damaged,Prime,Replacement
ORD100025,PID6482,Electronics,321.22,Better price available,27,Used,Prime,Refund
ORD100026,PID1608,Sports,470.41,Better price available,23,Opened,Prime,Replacement
ORD100027,PID9509,Sports,19.84,Arrived late,17,Damaged,Non-Prime,Replacement
ORD100028,PID4727,Home,281.81,Wrong item received,20,Opened,Prime,Refund
ORD100029,PID2293,Sports,479.69,Wrong item received,21,Unopened,Non-Prime,Refund
ORD100030,PID4876,Home,440.38,No longer needed,22,Damaged,Prime,Replacement
ORD100031,PID9059,Home,477.26,No longer needed,28,Damaged,Non-Prime,Refund
ORD100032,PID4509,Beauty,349.71,Defective product,29,Damaged,Prime,Replacement
ORD100033,PID6110,Clothing,294.99,Arrived late,16,Opened,Non-Prime,Replacement
ORD100034,PID6540,Sports,22.9,Size too large,28,Unopened,Prime,Refund
ORD100035,PID6591,Home,242.26,Size too small,6,Opened,Prime,Replacement
ORD100036,PID2418,Beauty,183.7,Arrived late,20,Opened,Non-Prime,Replacement
