qc_id,warehouse_id,product_id,category,inspection_date,defect_type,defect_severity,quantity_checked,quantity_defective,qc_status,flagged_for_review,inspector_level
QC10000,WH-410,PID2348,Electronics,2026-01-16,Wrong Item,Medium,111,9,Fail,No,Junior
QC10001,WH-305,PID3756,Home,2026-02-15,Label Error,Medium,163,7,Fail,No,Junior
QC10002,WH-410,PID8882,Clothing,2025-10-11,Functional Failure,Medium,161,4,Fail,No,Junior
QC10003,WH-305,PID5360,Beauty,2025-12-22,Wrong Item,Low,84,3,Fail,No,Junior
QC10004,WH-203,PID5458,Beauty,2026-01-14,Cosmetic Defect,Medium,123,9,Fail,No,Senior
QC10005,WH-203,PID4197,Clothing,2026-02-28,Cosmetic Defect,Medium,142,2,Fail,No,Automated
QC10006,WH-305,PID9672,Home,2025-09-30,Cosmetic Defect,Medium,130,8,Fail,No,Automated
QC10007,WH-410,PID6014,Beauty,2026-01-28,Label Error,Low,57,2,Fail,No,Automated
QC10008,WH-410,PID7720,Clothing,2025-10-21,Barcode Issue,Low,80,1,Fail,No,Junior
QC10009,WH-101,PID2378,Home,2025-10-24,Wrong Item,Low,26,2,Fail,No,Junior
QC10010,WH-305,PID7344,Beauty,2026-01-30,Label Error,Low,77,2,Fail,No,Junior
QC10011,WH-512,PID2191,Sports,2026-01-06,Wrong Item,Medium,158,10,Fail,No,Automated
QC10012,WH-101,PID3955,Clothing,2025-09-07,Packaging Damage,Low,31,3,Fail,No,Automated
QC10013,WH-410,PID2774,Sports,2026-01-03,Functional Failure,Medium,32,9,Fail,No,Automated
QC10014,WH-305,PID8829,Sports,2026-01-11,Packaging Damage,Medium,29,9,Fail,No,Senior
QC10015,WH-101,PID4582,Beauty,2025-09-06,Missing Parts,Low,54,3,Fail,No,Automated
QC10016,WH-305,PID1277,Home,2026-01-09,Functional Failure,High,67,25,Fail,Yes,Automated
QC10017,WH-512,PID6335,Home,2026-01-25,Cosmetic Defect,Medium,46,2,Fail,No,Junior
QC10018,WH-305,PID2452,Home,2026-02-05,Packaging Damage,Low,161,1,Fail,No,Junior
QC10019,WH-305,PID3408,Beauty,2025-12-06,Wrong Item,Low,43,1,Fail,No,Junior
QC10020,WH-203,PID4831,Home,2026-02-10,Functional Failure,Medium,84,10,Fail,No,Junior
QC10021,WH-305,PID5519,Home,2025-11-08,Functional Failure,Low,40,3,Fail,No,Junior
QC10022,WH-512,PID3625,Beauty,2025-10-13,Packaging Damage,Low,76,2,Fail,No,Junior
QC10023,WH-410,PID8804,Clothing,2025-11-18,Barcode Issue,Medium,71,9,Fail,No,Senior
QC10024,WH-101,PID9485,Beauty,2026-02-16,Barcode Issue,Low,84,2,Fail,No,Senior
QC10025,WH-203,PID3550,Electronics,2025-10-31,Label Error,Medium,106,2,Fail,No,Senior
QC10026,WH-512,PID8640,Home,2025-10-20,Functional Failure,Low,157,0,Pass,No,Senior
QC10027,WH-512,PID2136,Sports,2025-12-30,Cosmetic Defect,Low,171,2,Fail,No,Senior
QC10028,WH-410,PID4112,Sports,2025-09-23,Barcode Issue,Low,38,0,Pass,No,Junior
QC10029,WH-512,PID2721,Beauty,2026-01-11,Wrong Item,Low,151,3,Fail,No,Automated
QC10030,WH-512,PID3972,Beauty,2026-02-08,Missing Parts,Low,134,3,Fail,No,Automated
QC10031,WH-305,PID7756,Home,2025-12-01,Missing Parts,Low,119,1,Fail,No,Automated
QC10032,WH-101,PID5535,Electronics,2025-11-25,Wrong Item,Low,199,2,Fail,No,Junior
QC10033,WH-203,PID1946,Sports,2025-11-14,Missing Parts,Low,105,2,Fail,No,Senior
QC10034,WH-410,PID3631,Electronics,2026-01-16,Missing Parts,Low,70,2,Fail,No,Senior
QC10035,WH-101,PID4825,Sports,2025-10-27,Label Error,Medium,149,4,Fail,No,Automated
QC10036,WH-101,PID8645,Clothing,2026-02-03,Functional Failure,Low,16,3,Fail,No,Senior
QC10037,WH-203,PID8526,Beauty,2025-12-27,Wrong Item,Medium,152,2,Fail,No,Senior
QC10038,WH-512,PID2041,Beauty,2025-11-02,Wrong Item,Low,176,0,Pass,No,Senior
QC10039,WH-101,PID2021,Sports,2025-12-17,Barcode Issue,Low,50,1,Fail,No,Automated
QC10040,WH-512,PID4880,Home,2026-01-04,Wrong Item,Low,177,2,Fail,No,Automated
QC10041,WH-305,PID8215,Beauty,2025-09-26,Functional Failure,Low,109,1,Fail,No,Automated
QC10042,WH-101,PID6300,Home,2025-11-28,Missing Parts,High,26,17,Fail,Yes,Junior
QC10043,WH-305,PID7388,Sports,2025-11-13,Wrong Item,Low,23,3,Fail,No,Senior
QC10044,WH-512,PID8085,Beauty,2025-09-29,Barcode Issue,Low,141,1,Fail,No,Senior
QC10045,WH-101,PID7644,Clothing,2025-12-13,Cosmetic Defect,High,196,18,Fail,Yes,Automated
QC10046,WH-203,PID7776,Beauty,2025-09-29,Functional Failure,High,96,17,Fail,Yes,Junior
QC10047,WH-410,PID5592,Clothing,2025-11-11,Barcode Issue,Low,37,2,Fail,No,Automated
QC10048,WH-410,PID5392,Electronics,2026-01-25,Label Error,High,85,22,Fail,Yes,Junior
QC10049,WH-305,PID3143,Home,2025-12-13,Packaging Damage,Low,90,2,Fail,No,Automated
QC10050,WH-512,PID9236,Electronics,2025-12-25,Wrong Item,Low,179,1,Fail,No,Automated
QC10051,WH-101,PID3642,Beauty,2026-02-22,Wrong Item,Low,107,3,Fail,No,Junior
QC10052,WH-512,PID3820,Home,2025-11-28,Packaging Damage,Low,89,0,Pass,No,Senior
QC10053,WH-101,PID2523,Beauty,2025-10-10,Missing Parts,Medium,67,6,Fail,No,Junior
QC10054,WH-512,PID2190,Beauty,2025-11-13,Missing Parts,Low,184,3,Fail,No,Senior
QC10055,WH-410,PID1925,Electronics,2025-10-30,Wrong Item,High,100,5,Fail,Yes,Junior
QC10056,WH-101,PID6225,Clothing,2025-11-22,Packaging Damage,High,145,12,Fail,Yes,Junior
QC10057,WH-512,PID6714,Sports,2026-02-13,Cosmetic Defect,Medium,21,6,Fail,No,Automated
QC10058,WH-512,PID3054,Beauty,2025-10-15,Label Error,Low,81,1,Fail,No,Junior
